Light1,Lens1only,Image1,Light2,Lens2only,Image2,Light3,Lens3only,Image3,Light2then1,Lens2before1,Lens1after2,Image2then1,LightDthen1,LensDbefore1,Lens1afterD,ImageD,LightAthenB,LensA,LensB,ImageAthenB
420,860,1972,370,860,1750,370,1310,1545,420,680,1106,1500,420,760,1200,1844,470,750,1078,1254
420,890,1852,370,900,1684,420,1310,1546,420,680,1080,1478,420,740,1200,1819,470,750,1065,1244
420,920,1752,370,940,1640,470,1310,1548,420,680,1060,1460,420,720,1200,1810,470,750,1050,1240
420,950,1700,370,980,1602,800,1310,1609,420,680,1040,1442,420,700,1200,1787,470,750,1035,1218
420,980,1674,370,1020,1608,900,1310,1666,420,680,1020,1419,420,680,1200,1772,470,750,1020,1208
420,1010,1658,370,1060,1621,980,1310,1804,420,680,1000,1410,420,660,1200,1756,470,750,1000,1191
420,1040,1649,370,1100,1643,470,870,1242,420,680,980,1386,420,640,1200,1744,470,770,1000,1175
420,1070,1643,370,1140,1659,470,830,1250,420,680,960,1370,420,620,1200,1734,470,780,1000,1165
420,1100,1664,370,1180,1682,470,790,1308,420,680,940,1354,420,600,1200,1729,470,790,1000,1158
420,1130,1675,370,1220,1705,470,750,1482,420,660,1067,1482,420,700,1170,1782,470,800,1000,1151
420,1160,1682,370,1260,1735,470,1310,1546,420,640,1067,1516,420,700,1140,1782,470,810,1000,1145
420,1190,1699,,,,470,1270,1510,420,620,1067,1549,420,700,1110,1801,470,820,1000,1141
,,,,,,470,1230,1475,420,600,1067,1578,420,700,1080,1841,,,,
,,,,,,470,1190,1434,420,580,1067,1604,420,700,1050,1891,,,,
,,,,,,470,1150,1408,,,,,420,700,1020,1991,,,,
,,,,,,470,1110,1370,,,,,,,,,,,,
,,,,,,470,1070,1341,,,,,,,,,,,,
,,,,,,470,1030,1311,,,,,,,,,,,,
,,,,,,470,990,1281,,,,,,,,,,,,
,,,,,,470,950,1254,,,,,,,,,,,,
,,,,,,470,910,1239,,,,,,,,,,,,
